number,year,veg,bot,depth,temp,sal
290,2001,Seagrass,Sand,0.8,23.1,32.8
0,2001,None,Sand,0.5,22.7,34.15
734,2001,Seagrass,Sand,1,23.95,34.2
0,2001,None,Sand,1.1,24.4,34.9
0,2001,Seagrass,Sand,0.4,19.6,34
0,2001,None,Sand,1.5,23.03333333,32.36666667
0,2001,None,Sand,1,23.3,32.6
0,2001,None,Sand,1,24.1,31.8
57,2001,Seagrass,Sand,0.9,24.6,31.65
0,2001,None,Sand,0.8,22.6,35
269,2001,Seagrass,Sand,1,23.6,34.3
17,2001,None,Mud,0.4,23.5,33.6
594,2001,Seagrass,Mud,0.5,24.55,34.4
0,2001,None,Sand,0.4,25.85,32.2
94,2001,Seagrass,Sand,0.4,25.7,32.3
0,2001,None,Sand,0.5,26,32.4
1,2001,None,Sand,0.3,27.7,29.15
0,2001,Seagrass,Sand,0.5,27.7,31.5
0,2001,Seagrass,Sand,0.9,27.3,33.03333333
1,2002,None,Sand,1.2,25.7,28.8
6,2002,None,Mud,0.4,23.65,31.8
162,2002,Seagrass,Sand,0.4,23.35,33.8
106,2002,Seagrass,Sand,0.8,25.7,33.45
29,2002,Seagrass,Sand,0.8,25.45,35
2,2002,None,Sand,0.6,26,32.8
11,2002,Seagrass,Mud,0.8,24.25,28.45
0,2002,None,Mud,0.4,24.6,27.3
156,2002,Seagrass,Mud,0.8,22.3,35.5
946,2002,Seagrass,Mud,0.5,22.3,34.9
0,2002,None,Sand,0.9,21.9,33.8
3,2002,Seagrass,Sand,0.5,22.4,33.1
0,2002,None,Sand,0.5,24.1,31.3
0,2002,None,Sand,0.9,21.8,29.5
0,2002,None,Sand,0.4,24.7,30.4
0,2002,None,Sand,1.2,24.3,28.5
0,2002,None,Mud,1.1,24.2,28.2
0,2002,None,Sand,1.1,23.7,29.6
0,2002,None,Sand,0.6,23,29.7
0,2002,None,Sand,0.6,24.3,28.4
19,2002,Seagrass,Sand,0.4,24,29.8
1,2002,Seagrass,Sand,0.7,24.3,29.4
0,2002,None,Sand,0.6,24.8,28.95
4,2002,Seagrass,Sand,0.9,24.7,29.8
0,2002,Seagrass,Sand,0.5,25,30.1
0,2002,Seagrass,Sand,0.4,27.9,35.1
322,2002,Seagrass,Mud,0.9,28.2,34.6
0,2002,None,Mud,1.1,28.85,32.75
15,2002,Seagrass,Sand,1,28.05,31
0,2002,None,Sand,0.8,28.1,30.35
0,2002,Seagrass,Mud,0.5,29.45,29
14,2002,Seagrass,Mud,1.1,28.7,28.9
0,2002,Seagrass,Sand,0.9,29.9,30.05
0,2002,None,Sand,1,27.9,36.25
114,2002,Seagrass,Sand,1.4,28.4,35.2
247,2002,None,Mud,1.3,28.9,35.45
18,2002,Seagrass,Sand,0.7,29.25,29.5
7,2002,None,Mud,0.8,28.45,26.05
0,2002,None,Sand,1,29.1,31.2
0,2002,None,Sand,1,29.1,30.65
4,2002,Seagrass,Sand,1,30.3,30.9
7,2002,None,Sand,1,22.85,30.7
0,2002,None,Sand,0.6,28.6,36.6
471,2002,Seagrass,Sand,0.7,28.9,36.45
124,2002,Seagrass,Sand,1.3,29.4,35.4
1,2002,Seagrass,Sand,1,26.8,30.1
0,2002,None,Sand,0.8,27,28
36,2002,Seagrass,Sand,0.6,26.8,31.6
0,2002,None,Sand,1.1,28.75,31.6
2,2002,None,Sand,1.2,29.2,31.6
585,2003,Seagrass,Mud,0.8,19.65,33.7
403,2003,Seagrass,Sand,1,19.8,33.2
35,2003,Seagrass,Mud,0.4,26.3,27.4
0,2003,Seagrass,Sand,0.8,24.55,28
0,2003,Seagrass,Sand,0.6,18.6,25.7
0,2003,Seagrass,Sand,1,24.5,25.3
392,2003,Seagrass,Sand,0.6,24.6,26.8
70,2003,Seagrass,Sand,1,24.85,28.95
0,2003,None,Mud,1.2,25.8,27.45
29,2003,None,Sand,1.1,24.33333333,20.1
0,2003,None,Sand,1,25.3,22.9
33,2003,None,Mud,0.5,22.35,14.45
0,2003,None,Sand,1,21.95,21.35
0,2003,None,Sand,0.9,22.55,16.1
0,2003,None,Mud,0.5,24.4,20.1
0,2003,None,Sand,0.3,23,21
1,2003,None,Sand,0.4,22.2,20.8
10,2003,Seagrass,Sand,0.3,22.9,20.2
1,2003,Seagrass,Sand,1,25.5,18.9
0,2003,Seagrass,Sand,1,24.5,24.1
30,2003,Seagrass,Sand,1.1,23.35,24.6
0,2003,None,Sand,0.8,23.2,24.8
0,2003,Seagrass,Mud,0.5,25.2,21.4
0,2003,None,Mud,0.8,22.6,21.5
0,2003,None,Sand,0.4,23.95,21.05
0,2003,Seagrass,Sand,0.9,25.75,22.4
0,2003,None,Sand,0.5,27.7,24.1
0,2003,Seagrass,Mud,1.1,25.75,14.05
0,2003,None,Mud,0.5,25.2,21.4
0,2003,None,Sand,0.5,26.45,22.45
37,2003,Seagrass,Mud,0.7,29.1,23.2
0,2003,Seagrass,Sand,0.8,29.3,22.7
7,2003,Seagrass,Sand,0.6,29.35,21.9
11,2003,None,Sand,1,30.2,31
33,2003,Seagrass,Sand,0.3,30.2,30.2
53,2003,Seagrass,Mud,1.3,29.5,31.9
0,2003,None,Sand,0.9,25.45,23.5
0,2003,None,Sand,0.6,29.9,26
0,2003,None,Sand,0.9,29.8,30.7
7,2003,Seagrass,Sand,1,30.4,34.6
14,2003,Seagrass,Sand,1,25.75,22.4
0,2003,None,Sand,0.6,25.7,22.4
0,2003,Seagrass,Mud,0.6,27.4,21.05
0,2003,None,Sand,1,28.95,20.6
0,2003,None,Sand,0.7,29.35,20.05
284,2003,Seagrass,Mud,0.8,28.75,28.8
0,2003,Seagrass,Sand,0.4,27.8,26.3
149,2003,Seagrass,Sand,0.8,27.7,32.2
0,2003,None,Sand,0.9,27.5,21.65
0,2003,None,Mud,0.8,28.6,19.4
0,2004,None,Sand,1,20.3,22.9
96,2004,Seagrass,Sand,0.5,20.9,23.4
1,2004,None,Mud,1,22.85,21.1
3,2004,Seagrass,Mud,0.4,22.9,21.6
1,2004,None,Sand,0.3,21.6,27.3
67,2004,Seagrass,Sand,0.8,25.95,30.65
619,2004,Seagrass,Mud,1,21.15,33.5
1,2004,None,Sand,0.8,22.3,33.8
780,2004,Seagrass,Sand,0.6,25.1,31.4
375,2004,Seagrass,Sand,0.8,24.5,28.6
0,2004,None,Sand,0.7,24.9,24.9
53,2004,Seagrass,Sand,1,25.7,24.4
8,2004,None,Sand,1,21.5,23.85
0,2004,None,Sand,0.6,25.45,25.35
92,2004,Seagrass,Sand,0.6,25.7,25.3
10,2004,None,Sand,0.6,21.9,25.5
424,2004,Seagrass,Sand,0.8,23,23
0,2004,None,Sand,0.8,17.2,30.7
928,2004,Seagrass,Sand,0.7,19.4,29.3
0,2004,Seagrass,Sand,0.5,17.9,28.6
3,2004,None,Sand,0.5,19.05,20.9
0,2004,None,Sand,0.5,21.15,25.2
0,2004,None,Sand,0.6,23.5,25.4
1,2004,Seagrass,Sand,0.3,23.3,25.3
62,2004,Seagrass,Sand,1.2,25.9,25.55
2,2004,Seagrass,Sand,0.4,24.9,32.2
0,2004,None,Sand,0.6,25.7,28.4
503,2004,Seagrass,Mud,0.6,23.9,32.4
260,2004,Seagrass,Sand,1,25.8,32.4
1720,2004,Seagrass,Sand,0.7,27.1,32.75
3,2004,None,Sand,1,26.7,32.65
47,2004,Seagrass,Sand,0.6,21.25,21.4
9,2004,Seagrass,Sand,0.7,22.2,19.8
0,2004,None,Sand,0.6,23.7,21.35
95,2004,Seagrass,Sand,0.6,24.85,25.9
159,2004,Seagrass,Mud,0.5,24.2,27.45
15,2004,Seagrass,Sand,0.5,25.7,24.8
9,2004,None,Sand,0.4,27.7,22.8
0,2004,None,Sand,0.6,28.75,23
0,2004,None,Sand,1.1,24.55,24.3
71,2004,None,Mud,0.4,25.1,21.1
119,2004,Seagrass,Sand,1,25.05,24.9
289,2004,Seagrass,Sand,0.7,25.1,26.3
0,2004,None,Sand,1,26.2,26.9
0,2004,None,Sand,1,27.35,27.35
0,2004,None,Sand,0.9,24.7,25.05
0,2004,None,Sand,1.1,24.9,26.6
98,2004,Seagrass,Sand,0.7,25.5,32.45
56,2004,Seagrass,Sand,1.2,25.85,33.4
0,2004,None,Sand,1.3,25.5,32.2
46,2005,Seagrass,Sand,0.9,22.2,27.1
67,2005,Seagrass,Mud,0.9,22.7,29.95
282,2005,Seagrass,Mud,0.8,21.8,30.1
23,2005,Seagrass,Sand,0.6,17.6,24.1
0,2005,None,Sand,0.5,22.2,25.3
2,2005,Seagrass,Sand,0.6,22.2,25.9
0,2005,None,Sand,0.6,19.4,31.1
