"","ID","ch","sex","stage","tail","stream","trout"
"182","GBB1-2-8","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"183","GBB1-3-4","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"184","GBB1-3-5","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"185","GBB1-3-6","000000000001000000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"186","GBB1-3-7","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"187","GBB4-7","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"188","GBB4-8","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"189","GBB5-6","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"190","GBB5-7","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"191","GBB5-8","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"192","GBB6-7","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"193","GBB6-8","000000000001000000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"194","GBB7-8","000000000001000000000000000000000001000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"195","GBB1-3-8","000000000000100000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"196","GBB1-4-5","000000000000100000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"197","GBB1-4-6","000000000000110000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"198","GBB1-4-7","000000000000100000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"199","GBB1-4-8","000000000000100100000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"200","GBB1-5-6","000000000000100000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"201","GBB1-5-7","000000000000100000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"202","GBB1-5-8","000000000000100100000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"203","GBB1-6-7","000000000000100000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"204","GBB1-6-8","000000000000100000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"205","GBB1-7-8","000000000000010000000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"206","GBB2-3-4","000000000000010000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"207","GBB2-3-5","000000000000010000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"208","GBB2-3-6","000000000000010000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"209","GBB2-3-7","000000000000010100000000010000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"210","GBB2-3-8","000000000000001000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"211","GBB2-4-5","000000000000001000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"212","GBB2-4-6","000000000000001000000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"213","GBB2-4-7","000000000000001000000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"214","GBB2-5-6","000000000000000100000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"215","GBB2-5-7","000000000000000100000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"216","GBB2-5-8","000000000000000100000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"217","GBB2-6-7","000000000000000100000000000000000100000000000000000000000000000000000000","M","A","Full","Bear","Present"
"218","GBB2-6-8","000000000000000100000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"219","GBB2-7-8","000000000000000100000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"220","GBB3-4-5","000000000000000100000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"221","GBB3-4-6","000000000000000110100000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"222","GBB3-4-7","000000000000000100000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"223","GBB3-4-8","000000000000000100000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"224","GBB3-5-6","000000000000000110000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"225","GBB3-5-7","000000000000000100000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"226","GBB3-5-8","000000000000000100000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"227","GBB3-6-7","000000000000000010000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"228","GBB3-6-8","000000000000000010000000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"229","GBB3-7-8","000000000000000010000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"230","GBB4-5-6","000000000000000010000010000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"231","GBB4-5-7","000000000000000010000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"232","GBB4-5-8","000000000000000010000000000000001000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"233","GBB4-6-7","000000000000000010000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"234","GBB4-6-8","000000000000000010001000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"235","GBB4-7-8","000000000000000010100000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"236","GBB5-6-7","000000000000000010000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"237","GBB5-6-8","000000000000000010000000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"238","GBB5-7-8","000000000000000001000000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"239","GBG1","000000000000000000100000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"240","GBG2","000000000000000000100000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"241","GBG3","000000000000000000100000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"242","GBG4","000000000000000000100000010000100000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"243","GBG5","000000000000000000100000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"244","GBG6","000000000000000000100000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"245","GBG1-2","000000000000000000010000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"246","GBG1-3","000000000000000000010000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"247","GBG1-4","000000000000000000010000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"248","GBG1-5","000000000000000000010000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"249","GBG1-6","000000000000000000010000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"250","GBG1-7","000000000000000000010000000000000100000000000000000000000000000000000000","U","L","Full","Bear","Present"
"251","GBG1-8","000000000000000000010000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"252","GBG7","000000000000000000010000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"253","GBG8","000000000000000000010000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"254","GBG2-3","000000000000000000001000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"255","GBG2-4","000000000000000000001000000000100000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"256","GBG2-5","000000000000000000001000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"257","GBG2-6","000000000000000000001000000000000000000000000000000000000000000000000000","U","L","Full","Bear","Present"
"258","GBG2-7","000000000000000000001000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"259","GBG2-8","000000000000000000001000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"260","GBG3-4","000000000000000000001000000000000000000000000000000000000000000000000000","F","A","Full","Bear","Present"
"261","GBG3-5","000000000000000000001000000000000000000000000000000000000000000000000000","U","A","Full","Bear","Present"
"262","GBG3-6","000000000000000000001000000000000000000000000000000000000000000000000000","U","A","Damaged","Bear","Present"
"263","GBG3-7","000000000000000000001000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
"264","GBG3-8","000000000000000000001000000000000000000000000000000000000000000000000000","U","L","Damaged","Bear","Present"
